Recorded On,Activity Date,Start Time,Finish Time,Distance,Duration,Max Speed
2021-07-18 21:00:17,2021-07-18,21:00:17,21:19:27,7.016,1150.0,32.23
2021-07-22 17:43:53,2021-07-22,17:43:53,18:12:35,4.191,1722.0,30.13
2021-07-31 16:21:43,2021-07-31,16:21:43,16:38:51,3.162,1028.0,31.63
2021-07-31 16:56:10,2021-07-31,16:56:10,17:06:08,2.921,598.0,45.21
2021-08-01 19:07:02,2021-08-01,19:07:02,19:21:13,3.265,851.0,39.56
2021-08-01 19:26:58,2021-08-01,19:26:58,19:39:38,3.57,760.0,38.3
2021-08-03 13:14:34,2021-08-03,13:14:34,13:21:24,2.417,410.0,36.87
2021-08-03 13:44:23,2021-08-03,13:44:23,14:00:43,4.839,980.0,38.68
2021-08-03 14:04:29,2021-08-03,14:04:29,14:10:52,2.205,383.0,33.45
2021-08-06 19:59:12,2021-08-06,19:59:12,20:22:45,8.575,1413.0,32.84
2021-08-09 19:58:33,2021-08-09,19:58:33,20:27:49,10.121,1756.0,39.09
2021-08-11 15:57:47,2021-08-11,15:57:47,16:07:53,2.769,606.0,36.38
2021-08-11 17:06:55,2021-08-11,17:06:55,17:20:06,3.299,791.0,30.0
2021-08-23 13:52:57,2021-08-23,13:52:57,14:19:23,5.755,1586.0,39.6
2021-08-29 20:06:01,2021-08-29,20:06:01,20:25:29,6.915,1168.0,29.87
2021-08-30 19:58:01,2021-08-30,19:58:01,20:18:48,7.007,1247.0,37.33
2021-09-01 20:41:14,2021-09-01,20:41:14,20:56:32,5.646,918.0,33.16
2021-09-02 07:16:15,2021-09-02,07:16:15,07:23:36,2.285,441.0,29.63
2021-09-02 16:28:59,2021-09-02,16:28:59,16:41:32,4.093,753.0,35.1
2021-09-03 07:39:28,2021-09-03,07:39:28,07:48:20,2.417,532.0,27.87
2021-09-03 15:54:35,2021-09-03,15:54:35,16:12:48,4.298,1093.0,35.68
2021-09-03 16:19:12,2021-09-03,16:19:12,16:31:39,3.0,747.0,33.71
2021-09-05 12:37:28,2021-09-05,12:37:28,12:57:24,7.216,1196.0,32.12
2021-09-05 13:03:32,2021-09-05,13:03:32,13:13:25,3.091,593.0,28.12
2021-09-06 07:51:15,2021-09-06,07:51:15,08:05:13,4.087,838.0,31.06
2021-09-06 13:41:17,2021-09-06,13:41:17,13:56:40,2.642,923.0,28.5
2021-09-07 10:41:14,2021-09-07,10:41:14,10:51:52,2.395,638.0,25.26
2021-09-07 16:26:32,2021-09-07,16:26:32,16:35:16,2.331,524.0,29.8
2021-09-09 07:17:32,2021-09-09,07:17:32,07:26:09,2.388,517.0,29.88
2021-09-09 15:15:15,2021-09-09,15:15:15,15:22:27,2.349,432.0,33.51
2021-09-10 06:50:13,2021-09-10,06:50:13,06:59:47,2.297,574.0,26.19
2021-09-10 15:36:19,2021-09-10,15:36:19,15:46:43,3.302,624.0,30.43
2021-09-13 07:13:10,2021-09-13,07:13:10,07:21:12,2.237,482.0,26.92
2021-09-13 13:55:45,2021-09-13,13:55:45,14:12:05,4.737,980.0,31.37
2021-09-13 14:22:45,2021-09-13,14:22:45,14:36:11,3.204,806.0,41.64
2021-09-17 07:21:01,2021-09-17,07:21:01,07:29:46,2.243,525.0,26.87
2021-09-17 12:58:44,2021-09-17,12:58:44,13:05:19,2.275,395.0,31.14
2021-09-23 08:09:14,2021-09-23,08:09:14,08:17:11,2.333,477.0,29.85
2021-09-23 16:13:20,2021-09-23,16:13:20,16:22:27,2.347,547.0,29.95
2021-09-24 20:13:39,2021-09-24,20:13:39,20:33:40,6.9,1201.0,30.56
2021-09-26 19:31:14,2021-09-26,19:31:14,19:50:34,6.906,1160.0,31.14
2021-09-28 07:04:55,2021-09-28,07:04:55,07:16:14,2.756,679.0,53.45
2021-09-28 16:01:10,2021-09-28,16:01:10,16:09:29,2.42,499.0,30.69
2021-09-29 19:28:47,2021-09-29,19:28:47,19:48:39,7.07,1192.0,32.77
2021-10-04 08:23:07,2021-10-04,08:23:07,08:30:25,2.321,438.0,30.09
2021-10-04 14:03:35,2021-10-04,14:03:35,14:11:04,2.34,449.0,31.39
2021-10-05 10:56:23,2021-10-05,10:56:23,11:03:20,2.319,417.0,30.95
2021-10-05 16:49:42,2021-10-05,16:49:42,16:58:22,2.701,520.0,32.26
2021-10-07 07:28:03,2021-10-07,07:28:03,07:35:56,2.339,473.0,33.7
2021-10-07 15:42:25,2021-10-07,15:42:25,15:49:52,2.36,447.0,32.77
2021-10-08 06:44:51,2021-10-08,06:44:51,06:53:22,2.271,511.0,26.92
2021-10-08 15:12:44,2021-10-08,15:12:44,15:23:04,2.437,620.0,31.04
2021-10-10 19:49:00,2021-10-10,19:49:00,20:08:55,6.973,1195.0,35.4
2021-10-11 07:09:51,2021-10-11,07:09:51,07:18:40,2.319,529.0,28.7
2021-10-11 13:48:04,2021-10-11,13:48:04,14:05:31,5.335,1047.0,32.61
2021-10-12 07:03:09,2021-10-12,07:03:09,07:11:56,2.322,527.0,26.66
2021-10-12 16:04:42,2021-10-12,16:04:42,16:11:41,2.282,419.0,30.95
2021-10-12 20:41:28,2021-10-12,20:41:28,21:01:50,6.974,1222.0,31.95
2021-10-13 19:34:34,2021-10-13,19:34:34,19:55:05,6.973,1231.0,32.64
2021-10-14 09:22:20,2021-10-14,09:22:20,09:30:06,2.285,466.0,30.47
2021-10-14 15:31:22,2021-10-14,15:31:22,15:39:12,2.314,470.0,31.46
2021-10-15 15:11:09,2021-10-15,15:11:09,15:21:14,2.673,605.0,34.33
2021-10-15 18:47:46,2021-10-15,18:47:46,19:07:50,6.923,1204.0,31.14
